Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Homi Bhabha National Institute ,(IR-O-U-0304),10.09,25.0,17.86,19.56,0.0,19.3,19.9,2.5,3.55,42.26,26.67,14.33,22.68,0.0,15.0,5.31,2022,,
Kalinga Institute of Industrial Technology ,(IR-O-U-0356),19.0,25.0,18.0,7.0,0.0,10.72,14.34,3.0,2.14,60.0,15.13,24.59,30.0,3.27,20.0,17.71,2022,,
Indian Institute of Technology Ropar ,(IR-O-U-0378),8.82,25.0,17.86,14.51,9.0,15.97,15.52,1.0,1.17,60.0,5.71,23.77,14.67,5.89,20.0,20.57,2022,,
S.R.M. Institute of Science and Technology ,(IR-O-U-0473),16.93,19.51,12.15,7.32,2.0,16.02,20.99,7.0,1.27,60.0,11.41,16.38,25.09,1.07,20.0,25.15,2022,,
"Indian Institute of Technology, Gandhinagar ",(IR-O-U-0139),9.0,23.15,17.46,14.29,4.0,18.43,17.97,1.0,1.65,56.02,9.82,22.45,19.54,4.5,20.0,20.23,2022,,
Indian Institute of Technology (Indian School of Mines) ,(IR-O-U-0205),12.39,15.73,13.0,9.95,0.0,25.18,25.29,1.5,2.69,56.08,15.71,19.15,7.46,7.73,20.0,23.57,2022,,
National Institute of Technology Rourkela,(IR-O-U-0357),15.9,18.29,14.97,7.69,2.5,23.0,23.54,1.5,1.05,52.74,15.96,15.95,14.5,6.46,20.0,18.08,2022,,
"Indian Institute of Science Education & Research, Kolkata ",(IR-O-U-0572),7.93,25.0,17.38,13.25,0.0,18.44,19.12,1.0,0.86,57.11,9.09,16.19,18.71,1.69,20.0,25.46,2022,,
Panjab University ,(IR-O-U-0078),16.22,12.69,9.9,6.62,3.0,15.75,23.22,3.0,1.21,43.8,30.82,13.8,26.08,0.85,20.0,27.56,2022,,
Amity University ,(IR-O-U-0497),16.82,16.02,11.21,5.52,0.0,15.88,18.67,10.0,3.33,60.0,10.35,15.01,28.85,31.0,20.0,1343.0,2022,,
"Indian Institute of Technology, Mandi ",(IR-O-U-0184),7.02,22.09,17.96,13.22,2.5,18.22,16.37,2.0,0.67,57.34,8.22,21.43,18.67,6.91,20.0,12.18,2022,,
Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),15.5,17.85,14.77,8.16,0.0,20.92,16.36,3.5,2.22,60.0,9.46,14.62,27.22,4.13,20.0,5.31,2022,,
National Institute of Technology Warangal ,(IR-O-U-0025),15.0,18.39,14.81,9.53,0.0,16.35,16.18,1.5,1.19,60.0,13.48,16.57,14.32,4.25,20.0,25.15,2022,,
Osmania University ,(IR-O-U-0027),16.72,17.16,12.68,11.67,2.0,10.51,11.7,1.5,6.71,60.0,19.98,1.79,28.95,7.63,18.0,17.71,2022,,
"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),8.63,22.94,17.56,12.21,2.5,15.45,15.25,0.5,0.88,54.87,8.02,23.14,24.27,4.03,20.0,20.57,2022,,
Chandigarh University ,(IR-O-U-0747),17.87,25.0,14.41,5.76,0.0,3.12,5.99,9.0,4.05,60.0,9.27,25.19,30.0,3.44,20.0,31.19,2022,,
Shanmugha Arts Science Technology & Research Academy,(IR-O-U-0476),15.06,23.86,15.39,7.03,0.0,15.37,17.92,1.0,3.94,60.0,7.66,11.68,27.52,55.0,20.0,9.57,2022,,
Kalinga Institute of Industrial Technology ,(IR-O-U-0458),13.31,24.92,15.88,5.99,0.0,9.36,12.39,2.5,2.22,60.0,11.2,17.48,30.0,7.23,20.0,22.92,2022,,
"Mahatma Gandhi University, Kottayam ",(IR-O-U-0262),7.41,24.14,16.01,16.61,1.0,16.05,16.33,1.0,2.79,58.15,12.32,0.78,30.0,40.0,20.0,2.74,2022,,
Kerala University ,(IR-O-U-0260),10.48,23.79,16.94,12.02,2.0,9.23,10.27,0.0,0.8,60.0,34.4,1.07,30.0,0.0,20.0,2.21,2022,,
Alagappa University ,(IR-O-U-0435),11.63,25.0,18.36,6.68,0.0,13.84,16.8,1.0,0.99,60.0,12.21,0.73,30.0,0.83,20.0,1845.0,2022,,
