Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Kalinga Institute of Industrial Technology ,(IR-O-U-0356),19.0,24.62,17.25,15.3,0.0,9.41,12.19,3.0,3.18,60.0,10.0,24.92,30.0,3.5,20.0,11.06,20211,,
"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),8.33,24.55,18.62,8.92,2.0,15.0,15.15,1.0,0.71,54.38,5.2,21.85,23.99,5.81,20.0,22.04,20211,,
National Institute of Technology Rourkela ,(IR-O-U-0357),14.86,16.1,13.2,5.05,0.0,22.46,23.1,1.5,1.24,50.98,14.34,14.94,12.28,4.44,20.0,17.89,20211,,
Shanmugha Arts Science Technology & Research Academy,(IR-O-U-0476),15.15,24.13,15.25,4.06,0.0,15.22,17.03,1.5,4.53,60.0,6.3,9.22,27.86,0.7,20.0,10.48,20211,,
Amity University ,(IR-O-U-0497),16.7,17.18,11.51,3.59,0.0,14.26,15.8,9.0,4.22,60.0,7.55,14.87,29.55,0.24,20.0,12.18,20211,,
Kerala University ,(IR-O-U-0260),11.5,25.0,16.12,12.15,0.0,9.13,10.15,0.0,0.65,60.0,29.11,15.3,30.0,0.0,20.0,49.1,20211,,
Thapar Institute of Engineering and Technology ,(IR-O-I-1480),13.88,17.42,13.18,5.96,0.0,17.96,21.59,2.0,0.71,60.0,7.3,14.61,20.95,0.79,20.0,19.32,20211,,
Indian Institute of Engineering Science and Technology ,(IR-O-U-0584),11.07,18.68,13.63,5.7,2.5,19.38,17.48,1.0,1.14,57.54,14.11,12.07,14.79,3.36,20.0,27.77,20211,,
University of Madras ,(IR-O-I-1357),10.53,24.51,17.35,4.96,4.0,14.63,13.77,2.0,1.42,52.03,14.4,4.39,29.49,0.0,20.0,20.25,20211,,
"Andhra University, Visakhapatnam ",(IR-O-U-0006),15.96,16.4,12.83,8.35,1.5,10.27,9.6,0.5,5.22,60.0,25.84,41.51,29.32,3.62,20.0,18.37,20211,,
Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),14.04,25.0,17.94,4.8,0.0,14.44,12.97,4.5,2.37,60.0,4.91,14.0,28.31,3.68,20.0,2.18,20211,,
Indian Institute of Science Education & Research Bhopal ,(IR-O-U-0272),8.62,23.48,17.11,9.57,5.0,14.08,15.29,0.5,1.03,57.82,5.67,23.44,19.67,3.51,20.0,8.1,20211,,
Indian Institute of Technology Patna ,(IR-O-U-0064),7.11,22.73,16.85,9.35,4.0,18.39,16.47,1.5,0.66,52.11,5.48,16.76,9.66,7.52,20.0,16.41,20211,,
Mahatma Gandhi University ,(IR-O-U-0262),7.61,21.81,14.93,12.91,2.0,15.48,15.71,1.0,2.53,58.98,9.79,0.6,30.0,1.95,20.0,4.24,20211,,
S.R.M. Institute of Science and Technology ,(IR-O-U-0473),16.43,18.01,10.92,4.58,0.0,13.01,18.21,6.0,1.86,60.0,8.47,15.51,22.29,0.8,20.0,10.48,20211,,
Visvesvaraya National Institute of Technology ,(IR-O-U-0334),11.89,18.27,13.98,5.71,0.0,15.27,15.29,4.0,2.75,60.0,8.93,13.78,18.15,3.18,20.0,15.39,20211,,
Delhi Technological University ,(IR-O-U-0098),15.43,25.0,10.29,3.8,0.0,10.87,14.49,2.0,2.45,60.0,5.95,17.16,20.37,1.72,20.0,25.82,20211,,
JSS Academy of Higher Education and Research,(IR-O-U-0222),13.0,25.0,17.74,7.3,0.0,4.48,10.63,2.0,2.28,60.0,6.7,17.16,30.0,2.88,20.0,18.85,20211,,
Alagappa University ,(IR-O-U-0435),11.13,25.0,18.27,4.31,0.0,11.44,14.65,0.0,1.23,58.28,9.16,0.33,30.0,1.35,20.0,23.34,20211,,
Indian Institute of Technology Bhubaneswar ,(IR-O-U-0355),7.6,19.9,16.48,7.75,0.0,17.63,18.25,1.0,0.96,58.27,4.37,22.49,10.65,1.87,20.0,18.85,20211,,
National Institute of Technology Warangal ,(IR-O-U-0025),15.0,16.86,13.46,5.29,0.0,15.01,14.72,0.0,1.32,60.0,10.32,17.45,14.88,4.04,20.0,25.01,20211,,
King George's Medical University ,(IR-O-U-0523),8.27,25.0,13.54,17.58,0.0,11.38,11.54,3.0,1.31,60.0,2.97,5.19,30.0,2.38,20.0,8.1,20211,,
Sathyabama Institute of Science and Technology ,(IR-O-U-0474),12.94,23.88,14.11,3.13,0.0,12.12,12.48,8.0,1.4,60.0,4.82,16.85,24.78,3.05,20.0,7.48,20211,,
Osmania University ,(IR-O-U-0027),17.0,14.89,11.03,7.12,2.0,10.12,11.3,0.5,6.24,60.0,19.86,0.22,27.74,5.67,18.0,13.82,20211,,
Gujarat University ,(IR-O-U-0136),12.84,25.0,15.69,5.23,6.0,4.27,5.61,1.0,4.82,60.0,21.28,6.13,30.0,0.0,20.0,5.57,20211,,
Jamia Hamdard,(IR-O-U-0107),13.97,22.44,15.74,5.68,0.0,10.6,13.58,1.0,2.44,60.0,9.75,13.8,28.01,0.83,18.0,8.1,20211,,
Cochin University of Science and Technology ,(IR-O-U-0253),11.9,20.51,15.96,6.0,0.0,14.78,12.71,1.0,1.14,60.0,10.28,1.16,30.0,1.54,20.0,14.88,20211,,
Banasthali Vidyapith,(IR-O-U-0389),16.5,18.18,12.59,2.92,4.0,4.81,7.54,0.0,1.87,60.0,23.55,24.55,30.0,1.44,20.0,10.48,20211,,
Gauhati University ,(IR-O-U-0052),16.0,18.09,14.51,6.57,0.0,7.47,9.79,0.5,1.29,60.0,23.56,4.62,30.0,3.78,20.0,10.48,20211,,
Symbiosis International,(IR-O-U-0329),15.5,25.0,12.66,7.67,0.0,3.37,6.98,2.5,5.65,60.0,4.52,20.18,29.23,2.75,20.0,14.35,20211,,
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),(IR-O-U-0020),14.27,25.0,17.18,2.44,0.0,14.96,14.25,1.0,0.57,60.0,4.62,10.7,25.04,0.25,20.0,2.18,20211,,
Tata Institute of Social Sciences ,(IR-O-U-0331),10.43,25.0,17.29,6.48,2.0,4.24,4.28,0.0,3.8,60.0,17.33,18.72,30.0,3.56,20.0,8.71,20211,,
National Institute of Technology Durgapur ,(IR-O-U-0577),10.28,19.1,15.5,5.63,0.0,16.91,15.61,1.0,0.74,60.0,6.66,14.27,12.87,9.01,20.0,9.9,20211,,
Malaviya National Institute of Technology ,(IR-O-U-0410),11.67,24.9,14.15,5.41,0.0,16.03,16.85,1.0,1.24,49.37,8.2,11.28,20.62,6.49,20.0,5.57,20211,,
Tezpur University ,(IR-O-U-0056),11.33,21.92,16.57,4.5,4.0,12.82,14.1,2.0,1.11,54.43,7.21,4.31,26.5,1.35,20.0,11.62,20211,,
Kalasalingam Academy of research and Higher Education,(IR-O-U-0458),12.63,25.0,15.75,3.37,0.0,8.01,10.45,1.0,2.35,60.0,5.2,14.93,30.0,8.13,20.0,11.62,20211,,
Bharath Institute of Higher Education & Research ,(IR-O-U-0446),13.52,23.53,14.46,3.9,0.0,8.08,9.37,5.0,1.95,60.0,7.59,15.65,28.91,3.38,20.0,5.57,20211,,
University of Kashmir ,(IR-O-U-0196),16.0,19.86,15.38,4.25,5.0,7.35,10.3,0.0,1.86,60.0,17.03,0.0,29.26,0.86,20.0,2.18,20211,,
Chandigarh University ,(IR-O-U-0747),16.49,25.0,12.49,3.5,0.0,1.51,3.43,6.0,3.3,60.0,3.4,23.36,28.62,3.47,20.0,28.91,20211,,
Dr. B. R. Ambedkar National Institute of Technology ,(IR-O-U-0374),11.47,23.88,14.73,4.31,0.0,11.22,12.52,1.0,0.49,60.0,4.17,14.13,21.67,7.96,20.0,14.35,20211,,
Sri Ramachandra Institute of Higher Education and Research ,(IR-O-I-1486),12.08,25.0,17.73,10.01,0.0,4.91,9.16,2.0,1.83,55.79,5.34,11.27,30.0,3.45,20.0,7.48,20211,,
Dr. D. Y. Patil Vidyapeeth,(IR-O-I-1110),10.72,25.0,18.83,10.6,0.0,3.81,8.32,0.5,1.82,60.0,3.29,11.54,30.0,0.02,20.0,14.88,20211,,
Lovely Professional University ,,17.42,17.78,9.5,2.85,0.0,7.47,10.98,6.0,3.06,60.0,3.87,22.99,2154.0,1.44,20.0,20.7,20211,,
Indian Institute of Technology Mandi ,(IR-O-U-0184),7.27,17.12,13.77,8.89,3.0,15.16,14.77,0.0,0.67,56.4,4.87,21.86,16.24,3.97,20.0,12.73,20211,,
Madurai Kamaraj University ,(IR-O-U-0463),7.64,25.0,18.88,5.19,5.0,10.98,13.36,0.0,0.43,47.53,10.14,1.98,26.45,0.0,20.0,14.35,20211,,
Shiv Nadar University ,(IR-O-U-0642),6.85,25.0,19.64,8.01,0.0,7.39,9.03,1.0,1.94,60.0,3.5,15.28,23.38,0.47,20.0,13.28,20211,,
Guru Nanak Dev University ,(IR-O-U-0376),14.07,13.32,8.8,4.59,0.0,9.87,14.09,0.5,4.16,60.0,16.11,2.81,29.43,1.53,20.0,17.89,20211,,
PSG College of Technology ,(IR-O-C-37013),12.93,24.81,14.31,3.33,0.0,6.27,8.21,3.0,0.65,56.73,1.96,1.51,26.25,2.41,20.0,43.26,20211,,
Pondicherry University ,(IR-O-U-0369),13.04,13.12,10.54,3.23,0.0,13.45,15.23,1.0,0.43,48.67,23.74,14.06,22.52,1.6,20.0,17.89,20211,,
Motilal Nehru National Institute of Technology ,(IR-O-U-0530),13.07,16.4,12.77,5.62,0.0,13.2,13.75,0.5,1.04,59.76,7.92,13.08,13.19,8.5,20.0,11.06,20211,,
Sri Sivasubramaniya Nadar College of Engineering , (IR-O-C-16604),12.5,21.57,14.8,4.48,0.0,14.15,12.56,1.0,1.31,55.3,4.12,3.57,26.19,3.86,20.0,9.9,20211,,
North Eastern Hill University ,(IR-O-U-0341),12.14,21.06,15.35,6.97,0.0,7.51,8.2,0.0,0.6,58.21,16.41,6.83,29.81,0.0,15.0,11.62,20211,,
Bharathidasan University ,(IR-O-U-0448),8.57,22.58,17.09,6.5,0.0,13.65,14.78,1.0,0.49,41.68,11.98,0.91,26.74,4.16,16.0,18.85,20211,,
Sri Venkateswara University ,(IR-O-U-0037),12.7,21.25,13.83,3.43,0.0,7.97,10.66,0.0,1.24,58.91,20.29,1.78,26.53,4.3,18.0,5.57,20211,,
National Institute of Technology Silchar ,(IR-O-U-0055),10.11,18.11,14.45,4.61,0.0,15.13,14.96,2.0,0.22,57.87,6.3,12.95,14.35,5.54,20.0,6.85,20211,,
SVKM's Narsee Monjee Institute of Management Studies ,(IR-O-N-10),13.67,25.0,15.01,7.63,2.0,3.44,5.87,1.0,4.46,60.0,3.13,13.88,27.04,0.0,20.0,4.24,20211,,
Calicut University ,(IR-O-U-0251),8.71,25.0,16.46,9.15,4.0,7.59,9.0,0.0,0.05,50.5,12.82,0.32,30.0,6.45,18.0,2.88,20211,,
Mumbai University ,(IR-O-U-0318),15.42,14.55,9.85,6.77,3.0,6.88,8.12,2.0,2.08,60.0,18.35,2.76,22.44,2.58,20.0,7.48,20211,,
Visva Bharati,(IR-O-U-0589),13.97,16.51,11.13,5.39,2.5,9.61,14.29,1.0,1.25,60.0,13.81,2.4,24.07,1.11,9.0,6.22,20211,,
Sardar Vallabhbhai National Institute of Technology ,(IR-O-U-0149),12.73,16.82,11.54,4.23,0.0,13.0,13.87,1.0,1.41,59.05,5.44,14.18,19.52,3.33,20.0,7.48,20211,,
Guru Gobind Singh Indraprastha University ,(IR-O-U-0099),10.34,17.13,12.15,6.0,2.5,10.49,10.42,0.0,1.73,60.0,4.22,5.23,27.01,0.21,20.0,21.15,20211,,
Datta Meghe Institute of Medical Sciences ,(IR-O-U-0295),10.81,25.0,18.96,9.3,0.0,2.02,3.98,3.0,1.35,57.1,2.97,14.12,30.0,2.06,20.0,1.46,20211,,
 ,,,,,,,,,,,,,,,,,,20211,,
Indian Institute of Technology Madras ,(IR-O-U-0456),17.0,21.17,15.72,19.56,13.0,31.98,32.26,15.0,10.64,58.93,28.29,22.49,13.24,7.86,20.0,100.0,2023,,
Indian Institute of Science ,(IR-O-U-0220),11.0,25.0,18.43,20.0,8.0,35.0,33.9,11.0,8.55,52.14,28.43,25.53,10.64,3.06,20.0,97.94,2023,,
Indian Institute of Technology Delhi , (IR-O-I-1074),16.84,22.39,17.28,16.55,9.0,31.62,33.27,13.0,7.34,54.38,24.83,24.31,17.67,8.33,20.0,90.98,2023,,
Indian Institute of Technology Bombay ,(IR-O-U-0306),17.0,20.63,16.18,15.9,11.0,30.89,31.88,15.0,8.37,56.42,27.84,20.45,13.9,4.41,20.0,84.98,2023,,
Indian Institute of Technology Kanpur ,(IR-O-I-1075),16.92,21.36,17.6,16.57,13.0,27.47,27.55,12.0,5.93,60.0,23.62,21.09,11.62,7.53,20.0,69.84,2023,,
"All India Institute of Medical Sciences, Delhi ",(IR-O-N-15),11.0,25.0,18.47,20.0,2.0,32.07,29.53,1.5,4.65,60.0,10.46,24.46,28.26,0.0,20.0,75.23,2023,,
Indian Institute of Technology Kharagpur ,(IR-O-U-0573),16.94,16.75,14.03,10.57,15.0,29.23,32.56,5.0,5.46,45.38,31.37,20.67,11.28,5.49,20.0,70.68,2023,,
Indian Institute of Technology Roorkee ,(IR-O-U-0560),16.15,20.02,15.63,12.88,13.0,28.1,29.78,5.0,5.11,60.0,23.15,24.68,12.78,5.35,20.0,50.36,2023,,
Indian Institute of Technology Guwahati ,(IR-O-U-0053),17.0,19.26,12.93,12.24,12.0,27.98,28.21,7.0,3.79,60.0,22.95,23.99,13.36,0.95,20.0,42.44,2023,,
Jawaharlal Nehru University ,(IR-O-U-0109),17.0,24.35,16.97,12.73,2.5,21.43,22.16,2.0,0.97,56.52,38.37,25.31,28.33,0.0,20.0,30.73,2023,,
Banaras Hindu University ,(IR-O-U-0500),20.0,20.92,16.38,11.47,4.0,19.14,24.85,1.5,3.69,60.0,39.64,11.96,27.43,2.11,20.0,45.43,2023,,
Jamia Millia Islamia-New Delhi,(IR-O-U-0108),16.0,25.0,16.0,10.88,1.5,20.09,23.71,3.0,3.03,60.0,33.85,24.17,30.0,9.24,20.0,26.4,2023,,
Jadavpur University ,(IR-O-U-0575),18.22,22.32,17.33,7.77,2.0,23.1,24.61,3.0,2.95,60.0,30.61,5.0,24.17,7.62,20.0,41.08,2023,,
Indian Institute of Technology Hyderabad ,(IR-O-U-0013),10.17,24.96,18.29,14.97,6.0,24.55,23.83,4.0,2.74,60.0,13.26,19.17,16.5,3.37,20.0,48.36,2023,,
Amrita Vishwa Vidyapeetham,(IR-O-U-0436),18.0,25.0,16.85,11.55,2.0,19.76,19.8,6.0,4.79,60.0,13.93,21.6,27.11,3.76,20.0,35.71,2023,,
Manipal Academy of Higher Education-manipal,(IR-O-U-0234),17.49,25.0,16.43,11.94,2.0,21.14,24.74,3.0,5.13,60.0,17.97,17.9,27.14,1.06,20.0,24.39,2023,,
Vellore Institute of Technology ,(IR-O-U-0490),20.0,18.05,12.9,4.72,0.0,23.74,30.37,9.0,0.48,60.0,20.43,19.38,23.05,0.12,20.0,45.71,2023,,
Anna University ,(IR-O-U-0439),15.25,18.49,12.57,6.92,3.0,24.18,27.06,10.0,2.99,57.43,17.16,0.77,25.5,4.02,20.0,62.67,2023,,
Aligarh Muslim University ,(IR-O-U-0496),17.5,24.07,17.38,9.92,0.0,18.63,23.61,3.0,1.64,59.87,34.69,9.08,25.83,5.13,20.0,26.4,2023,,
University of Hyderabad ,(IR-O-U-0042),14.08,25.0,19.07,9.82,2.5,20.28,20.53,2.5,1.24,60.0,23.27,18.71,27.87,0.0,20.0,26.83,2023,,
National Institute of Technology Tiruchirapp:,(IR-O-U-0467),15.0,18.27,14.93,11.47,0.0,21.81,22.33,3.0,1.41,60.0,16.18,18.6,21.24,8.49,20.0,58.95,2023,,
University of Delhi ,(IR-O-U-0120),18.82,10.87,8.45,8.52,0.0,22.89,27.05,2.5,1.87,57.84,40.0,16.89,26.72,0.37,20.0,39.84,2023,,
Calcutta University ,(IR-O-U-0570),15.71,25.0,17.71,7.69,0.0,16.79,19.66,1.5,4.36,60.0,37.37,2.72,30.0,0.29,20.0,29.33,2023,,
Indian Institute of Technology Gandhinagar ,(IR-O-U-0139),8.92,25.0,19.27,15.4,6.0,20.55,19.7,1.5,1.38,59.25,10.29,23.05,21.38,4.71,20.0,27.47,2023,,
Birla Institute of Technology & Science -Pilani ,(IR-O-U-0391),17.5,18.95,14.93,10.27,0.0,21.03,24.68,4.0,6.55,60.0,14.65,21.9,17.24,0.02,20.0,25.3,2023,,
Siksha 'O' Anusandhan,(IR-O-U-0363),17.29,25.0,15.7,11.8,0.0,15.03,16.69,5.0,3.38,60.0,13.26,22.11,30.0,1.24,20.0,34.11,2023,,
Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),15.5,25.0,19.84,9.49,0.0,23.77,21.06,6.0,1.36,60.0,11.3,15.77,27.47,4.14,20.0,5.37,2023,,
Indian Institute of Technology Indore ,(IR-O-U-0273),8.51,24.99,17.79,12.57,2.5,25.68,24.47,1.5,1.05,60.0,12.96,21.24,13.81,5.76,20.0,16.1,2023,,
Kalinga Institute of Industrial Technology ,(IR-O-U-0356),19.0,25.0,18.02,7.61,0.0,11.71,16.28,9.0,1.03,60.0,18.87,26.75,30.0,3.38,20.0,14.39,2023,,
Homi Bhabha National Institute ,(IR-O-U-0304),10.31,25.0,17.84,20.0,0.0,21.9,22.34,1.0,4.21,44.37,26.99,15.65,23.7,0.0,15.0,6.08,2023,,
Indian Institute of Technology (Banaras Hindu University) Varanasi,(IR-O-U-0701),14.54,15.03,12.35,10.42,2.5,22.49,24.45,4.0,2.26,60.0,15.62,17.85,10.35,9.18,20.0,38.07,2023,,
S.R.M. Institute of Science and Technology ,(IR-O-U-0473),18.11,20.52,13.22,7.76,2.0,17.99,23.5,4.5,1.04,60.0,14.95,17.72,25.3,1.59,20.0,23.94,2023,,
Indian Institute of Technology Ropar ,(IR-O-U-0378),8.64,23.57,18.13,14.35,9.0,18.05,17.23,2.0,1.17,60.0,6.67,23.79,14.74,7.91,20.0,25.52,2023,,
Indian Institute of Science Education & Research Pune ,(IR-O-U-0305),8.53,25.0,17.41,14.51,7.0,20.41,19.59,2.0,1.72,52.56,10.71,18.86,22.64,2.07,20.0,21.81,2023,,
Savitribai Phule Pune University ,(IR-O-U-0323),14.29,17.2,11.56,10.94,7.0,18.56,19.01,0.0,1.74,60.0,34.63,4.32,26.42,1.03,20.0,15.82,2023,,
Bharathiar University ,(IR-O-U-0447),11.43,24.56,18.08,9.03,0.0,21.31,20.49,1.0,0.97,60.0,18.87,2.36,30.0,1.62,18.0,25.52,2023,,
National Institute of Technology Rourkela ,(IR-O-U-0357),16.0,18.08,14.93,8.48,2.5,23.4,24.21,3.0,1.06,56.85,15.84,17.3,14.13,8.68,20.0,14.68,2023,,
"National Institute of Technology Karnataka, Surathkal ",(IR-O-U-0237),15.0,17.37,13.62,12.46,0.0,20.46,19.4,3.0,2.39,60.0,15.59,13.3,15.95,9.99,20.0,33.2,2023,,
Jawaharlal Institute of Post Graduate Medical Education & Research ,(IR-O-U-0368),10.5,25.0,19.23,18.88,0.0,17.41,14.26,0.0,0.45,60.0,12.32,21.16,30.0,0.35,20.0,20.83,2023,,
Thapar Institute of Engineering and Technology (Deemed-to-be-university) ,(IR-O-I-1480),15.83,21.94,15.01,9.24,0.0,19.12,23.91,6.0,0.7,60.0,12.17,18.06,25.21,0.78,20.0,8.15,2023,,
Institute of Chemical Technology ,(IR-O-U-0308),10.28,18.25,14.77,11.01,2.0,18.33,18.72,11.0,1.55,60.0,17.89,7.74,25.16,2.98,20.0,15.82,2023,,
Indian Institute of Technology (Indian School of Mines) ,(IR-O-U-0205),12.73,15.96,13.35,10.46,0.0,24.85,25.56,3.0,1.51,51.39,17.61,20.39,9.87,7.76,20.0,20.33,2023,,
Indian Institute of Science Education & Research Kolkata ,(IR-O-U-0572),7.66,25.0,18.12,13.89,3.5,19.52,19.64,1.0,0.85,60.0,10.16,15.61,18.36,1.61,20.0,13.81,2023,,
Panjab University ,(IR-O-U-0078),15.99,12.95,10.09,7.07,5.0,16.66,22.84,6.0,1.14,42.57,33.21,13.49,25.7,0.73,20.0,28.52,2023,,
Chandigarh University,(IR-O-U-0747),17.87,25.0,14.37,6.31,0.0,5.3,9.59,7.0,3.33,60.0,15.62,26.87,30.0,3.39,20.0,35.18,2023,,
Lovely Professional University ,(IR-O-U-0379),18.0,21.67,12.12,4.13,0.0,12.99,19.25,11.0,1.15,60.0,6.06,25.69,22.66,0.0,20.0,30.92,2023,,
Kerala University ,(IR-O-U-0260),13.0,21.25,15.69,14.71,2.0,10.31,11.14,0.5,0.86,60.0,36.02,8.87,30.0,0.0,20.0,8.15,2023,,
Kalasalingam Academy of Research and Education,(IR-O-U-0458),13.71,25.0,17.09,6.86,0.0,11.37,14.35,4.0,1.15,60.0,14.68,18.95,30.0,7.47,20.0,18.79,2023,,
Shanmugha Arts Science Technology &research Academy,(IR-O-U-0476),15.42,24.66,15.81,7.98,0.0,15.9,18.96,3.0,3.0,60.0,8.45,11.07,27.91,4.3,20.0,9.48,2023,,
Koneru Lakshmaiah Education Foundation University ,(IR-O-U-0020),14.98,25.0,17.31,4.73,0.0,18.06,16.74,5.5,0.45,60.0,9.49,11.31,25.84,0.48,20.0,14.68,2023,,
"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),8.77,21.84,16.81,12.09,4.0,16.33,15.47,1.0,0.81,58.13,10.46,24.1,24.13,4.11,20.0,17.73,2023,,
"Mahatma Gandhi University, Kottayam ",(IR-O-U-0262),7.42,22.6,15.76,17.35,2.5,17.15,17.47,1.5,2.74,60.0,13.44,0.5,30.0,0.73,20.0,6.78,2023,,
National Institute of Technology Warangal ,(IR-O-U-0025),15.0,18.09,14.5,10.1,0.0,17.83,17.98,3.0,0.61,60.0,13.79,18.61,15.65,4.73,20.0,20.33,2023,,
National Institute of Technology Calicut ,(IR-O-U-0263),15.0,20.37,15.98,9.7,0.0,15.26,14.71,2.5,0.57,60.0,13.62,16.17,23.41,9.53,20.0,17.73,2023,,
JSS Academy of Higher Education and Research,(IR-O-U-0222),14.0,25.0,16.21,13.31,0.0,8.51,11.51,2.0,1.45,60.0,9.35,20.72,30.0,3.97,20.0,22.05,2023,,
Alagappa University ,(IR-O-U-0435),11.86,24.83,17.93,6.89,0.0,16.24,18.48,1.5,0.41,60.0,13.97,0.89,30.0,1.24,20.0,15.54,2023,,
Amity University ,(IR-O-U-0497),16.82,14.68,10.8,5.51,0.0,15.27,20.58,10.0,1.32,60.0,11.25,15.94,28.6,0.11,20.0,16.65,2023,,
University of Kashmir ,(IR-O-U-0196),15.68,22.91,18.09,8.96,5.0,10.72,14.1,0.5,1.62,60.0,19.58,0.0,30.0,3.05,20.0,2.77,2023,,
Symbiosis University,(IR-O-U-0329),15.48,23.53,16.75,11.87,0.0,7.26,11.0,2.5,2.15,60.0,17.78,15.01,28.11,0.05,20.0,15.54,2023,,
Indian Institute of Science Education & Research Bhopal ,(IR-O-U-0272),8.58,22.85,18.11,14.51,5.0,15.16,14.56,1.0,0.82,56.5,7.3,23.81,21.08,3.44,20.0,8.15,2023,,
Delhi Technological University ,(IR-O-U-0098),16.5,25.0,11.07,6.62,0.0,15.9,18.53,0.0,1.34,60.0,6.39,15.53,20.61,3.03,20.0,28.52,2023,,
Malaviya National Institute of Technology ,(IR-O-U-0410),14.09,18.1,14.51,7.73,0.0,18.81,20.11,2.5,1.36,60.0,10.67,13.99,19.61,7.33,20.0,9.8,2023,,
Cochin University of Science and Technology ,(IR-O-U-0253),11.99,23.09,17.37,9.95,0.0,17.68,15.26,0.5,0.93,60.0,13.79,1.03,30.0,0.7,20.0,13.81,2023,,
Osmania University ,(IR-O-U-0027),16.0,16.35,11.8,12.6,2.0,10.03,11.65,3.0,6.57,60.0,21.26,2.63,29.67,5.6,20.0,9.15,2023,,
University of Madras ,(IR-O-I-1357),10.68,25.0,18.92,8.14,2.0,16.0,16.02,0.0,0.88,52.42,16.98,3.23,30.0,0.0,20.0,14.39,2023,,
"Indian Institute of Engineering Science and Technology, Shibpur ",(IR-O-U-0584),12.07,17.61,13.64,8.75,1.5,18.78,17.64,1.5,0.92,56.09,14.35,12.4,16.73,9.57,20.0,21.07,2023,,
Indian Institute of Technology Jodhpur ,(IR-O-U-0395),10.13,21.8,17.06,14.59,2.5,14.45,15.02,0.5,1.58,60.0,4.6,20.55,20.69,5.42,20.0,9.15,2023,,
Indian Institute of Technology Patna ,(IR-O-U-0064),9.95,14.01,11.16,11.54,6.0,20.56,19.25,2.0,1.05,59.98,10.67,19.89,10.15,7.02,20.0,12.92,2023,,
Babasheb Bhimrao Ambedkar University ,(IR-O-U-0498),12.0,22.67,18.25,6.92,0.0,9.77,13.09,1.0,0.44,60.0,22.07,17.94,30.0,8.89,20.0,2.0,2023,,
Bharathidasan University ,(IR-O-U-0448),9.12,22.8,17.24,8.38,0.0,18.16,17.39,0.0,0.84,51.85,22.33,1.23,28.46,2.36,20.0,12.31,2023,,
Mysore University ,(IR-O-U-0235),14.0,21.97,15.78,9.68,6.0,7.16,10.06,1.0,0.38,60.0,27.02,6.52,27.47,2.63,18.0,5.01,2023,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar ",(IR-O-U-0374),12.76,25.0,13.3,6.7,0.0,13.51,15.45,1.5,0.28,60.0,7.91,13.0,24.7,8.38,20.0,23.0,2023,,
Indian Institute of Technology Mandi ,(IR-O-U-0184),6.99,18.26,14.92,11.52,5.0,17.9,16.87,2.0,0.59,53.51,9.53,22.07,16.21,9.31,20.0,14.39,2023,,
"Punjab Agricultural University, Ludhiana ",(IR-O-U-0381),11.93,25.0,18.95,14.65,0.0,11.24,12.9,1.5,2.65,53.51,13.97,1.93,28.23,0.21,20.0,7.82,2023,,
Datta Meghe Institute of Higher Education and Research ,(IR-O-U-0295),13.81,25.0,18.1,10.25,0.0,12.63,12.22,7.0,1.0,57.48,4.67,12.88,30.0,1.88,20.0,0.0,2023,,
"Andhra University, Visakhapatnam ",(IR-O-U-0006),15.0,14.77,11.31,13.3,0.0,10.02,10.57,2.5,2.65,60.0,24.77,3.7,28.92,6.01,20.0,16.92,2023,,
King George's Medical University ,(IR-O-U-0523),9.05,25.0,18.09,18.69,0.0,12.51,12.48,0.5,1.15,60.0,3.34,4.85,27.52,4.27,20.0,9.48,2023,,
Jamia Hamdard,(IR-O-U-0107),14.55,19.62,14.16,7.7,0.0,12.91,17.22,1.0,1.36,60.0,10.37,15.95,28.91,1.17,20.0,11.7,2023,,
UPES,(IR-O-U-0564),14.5,22.82,13.54,7.33,0.0,10.52,13.81,4.0,0.35,60.0,0.55,22.24,24.74,0.07,20.0,34.47,2023,,
Sri Sivasubramaniya Nadar College of Engineering ,(IR-O-C-16604),10.0,23.69,16.13,7.97,0.0,17.37,16.7,2.5,0.45,60.0,7.61,4.3,25.52,3.81,20.0,8.49,2023,,
Dr. D.Y. Patil Vidyapeeth,(IR-O-I-1110),12.25,25.0,18.41,14.98,0.0,7.86,10.01,1.0,1.68,60.0,3.6,12.13,30.0,0.23,20.0,18.53,2023,,
"Visvesvaraya National Institute of Technology, Nagpur ",(IR-O-U-0334),11.65,18.09,14.54,9.65,0.0,15.16,14.96,7.0,1.9,60.0,8.88,13.76,18.49,3.41,20.0,9.15,2023,,
National Institute of Technology Silchar ,(IR-O-U-0055),13.28,16.29,13.16,8.63,0.0,19.02,18.85,4.5,0.44,60.0,8.84,15.25,14.89,4.02,20.0,6.78,2023,,
Sathyabama Institute of Science and Technology ,(IR-O-U-0474),13.07,21.78,12.97,5.57,0.0,14.27,15.42,5.0,1.04,57.32,7.35,16.96,28.26,1.17,20.0,16.38,2023,,
