Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Institute of Chemical Technology,IR-3-O-OEP-U-0308,8.19,19.96,13.42,12.25,17.97,17.22,11.0,2.33,54.63,14.55,3.16,24.97,4.42,20.0,15.9,30.0,2018,,,0.0,30.022367
National Institute of Technology Tiruchirappalli,IR-2-O-OE-U-0467,13.86,20.38,12.33,10.52,15.63,16.91,0.0,1.83,60.0,6.99,17.19,19.48,4.14,20.0,38.55,31.0,2018,,,0.0,30.997154
Indian Institute of Science Education & Research Pune,IR-1-O-O-U-0305,5.64,30.0,17.69,13.24,14.99,16.29,0.0,1.76,55.08,6.32,17.02,22.66,3.17,20.0,25.85,32.0,2018,,,0.0,31.994286
Panjab University,IR-6-O-OEMLDP-U-0078,17.33,16.04,10.35,8.88,15.22,26.34,2.0,1.18,44.48,28.69,11.98,26.31,0.24,9.0,23.58,33.0,2018,,,0.0,33.001842
Indian Institute of Management Calcutta,IR-1-O-M-S-8972,6.85,30.0,18.61,26.98,4.02,3.21,0.0,7.3,60.0,1.99,24.25,21.8,0.0,20.0,27.8,34.0,2018,,,0.0,33.99072
Bharath Institute of Higher Education & Research,IR-1-O-O-U-0446,12.78,30.0,17.87,9.57,12.56,14.2,2.0,0.46,60.0,3.76,22.34,30.0,6.82,20.0,2.4,35.0,2018,,,0.0,35.012608
Andhra University,IR-6-O-OEMALP-U-0006,14.93,25.23,15.4,10.42,9.43,9.97,0.5,5.22,60.0,23.14,2.04,28.96,3.75,20.0,9.53,36.0,2018,,,0.0,36.029842
Jamia Hamdard,IR-5-O-OEMDP-U-0107,10.09,29.9,17.29,10.39,12.69,15.87,2.0,1.73,60.0,14.48,14.33,28.2,0.6,9.0,2.01,37.0,2018,,,0.0,36.979546
	Siksha `O` Anusandhan,IR-2-O-OD-U-0363,15.12,30.0,17.32,11.9,9.3,12.62,0.5,0.98,60.0,6.21,11.82,28.73,2.52,20.0,7.17,38.0,2018,,,0.0,38.00244
Indian Institute of Technology Gandhinagar,IR-2-O-OE-U-0139,7.3,29.73,18.05,18.65,12.5,13.24,0.5,1.05,53.57,3.22,21.51,19.47,4.49,15.0,15.9,39.0,2018,,,0.0,39.00064
Tamil Nadu Agricultural University,IR-1-O-O-U-0485,11.79,30.0,19.22,17.59,3.46,6.47,1.0,2.06,57.25,18.33,1.81,30.0,5.26,17.0,12.07,40.0,2018,,,0.0,39.999912
Homi Bhabha National Institute,IR-1-O-O-U-0304,7.87,30.0,17.44,28.83,2.15,9.42,0.0,2.6,45.16,24.97,11.47,19.28,0.0,14.0,9.85,41.0,2018,,,0.0,40.99707
National Institute of Technology Rourkela,IR-2-O-OE-U-0357,13.49,20.21,13.26,8.9,19.39,20.64,0.5,1.39,55.14,14.59,15.52,13.07,2.81,14.0,9.85,42.0,2018,,,0.0,41.966335
	Alagappa University,IR-1-O-C-U-0435,8.69,30.0,16.76,10.02,8.84,12.71,0.0,0.71,60.0,10.4,0.36,30.0,2.83,20.0,24.5,43.0,2018,,,0.0,42.985516
"Indian Institute of Engineering Science and Technology, Shibpur",IR-2-O-OE-U-0584,10.66,23.45,14.65,11.25,17.95,15.63,0.5,1.41,53.12,10.94,9.35,15.6,1.42,17.0,22.63,44.0,2018,,,0.0,44.003006
Osmania University,IR-1-O-O-U-0027,16.0,18.4,10.8,9.89,11.25,13.28,0.5,0.87,60.0,33.35,6.55,25.11,4.04,9.0,5.76,45.0,2018,,,0.0,45.002464
Tezpur University,IR-1-O-O-U-0056,9.77,28.4,17.09,11.35,13.59,15.53,0.5,0.92,56.98,8.28,3.57,25.48,1.25,17.0,10.82,46.0,2018,,,0.0,45.980396
Kerala University,IR-1-O-O-U-0260,9.17,24.88,14.69,16.43,9.07,9.13,1.0,0.59,60.0,23.76,0.6,30.0,0.0,17.0,7.17,47.0,2018,,,0.0,47.0046
Visva Bharati,IR-1-O-O-U-0589,15.0,24.43,13.54,10.52,9.01,17.03,0.5,0.91,60.0,12.24,3.41,29.14,1.32,20.0,5.03,48.0,2018,,,0.0,47.970596
