Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR
"Jamia Millia Islamia, New Delhi",(IR-O-U-0108),16,25,16.01,9.66,1.5,18.58,22.12,3,3.68,60,32.46,22.35,29.84,8.95,20,23.57
Indian Institute of Technology Hyderabad ,(IR-O-U-0013),10.15,25,17.89,14.4,6,23.13,22.86,4,3.19,60,11.53,17.84,15.91,2.99,20,49.01
Calcutta University ,(IR-O-U-0570),17.97,24.21,17.27,8.01,0,16.14,18.51,1.5,4.7,60,35.48,4.61,30,7.28,20,37.86
Amrita Vishwa Vidyapeetham,(IR-O-U-0436),18,25,15.99,10.81,0,20.35,19,6,4.7,60,14.09,20.8,27.77,0.96,20,38.09
"Manipal Academy of Higher Education,Manipal",(IR-O-U-0234),17.56,25,16.55,11.42,0,19.62,21.76,3,6.68,57.95,20.2,16.85,26.98,0.98,20,26.37
Vellore Institute of Technology ,(IR-O-U-0490),18.55,16.21,12.69,5.27,0,23.35,28.9,7,0.58,58.5,20.93,16.91,22.05,0.11,20,45.74
Aligarh Muslim University ,(IR-O-U-0496),17.17,24.59,17.23,9.22,1,17.09,22.36,1.5,2.09,56.54,32.38,7.93,25.39,2.98,20,27.85
University of Hyderabad ,(IR-O-U-0042),13.44,25,19.84,9.16,3.5,19.16,19.34,0,1.68,60,23.97,16.59,26.91,0,20,31.99
"National Institute of Technology, Tiruchirapalli ",(IR-O-U-0467),15,19.22,15.52,10.99,0,20.72,20.76,2,2.24,60,15.74,17.77,21.36,734,20,52.2
Anna University ,(IR-O-U-0439),15.07,18.98,12.75,6.53,0,21.36,24.34,4,3.45,59.2,15.77,0.7,2519,340,20,62.1
University of Delhi ,(IR-O-U-0120),17.66,9.7,7.6,8.14,0,21.29,26.13,2.5,2.9,54.23,37.63,14.7,23.85,0.32,20,45.93
Bharathiar University ,(IR-O-U-0447),11.77,25,18.66,8.54,0,21.82,20.89,0.5,1.45,60,18.31,6.28,30,7.68,20,26.97
Savitribai Phule Pune University ,(IR-O-U-0323),13.79,18.54,13.54,11.79,6,18.74,19.83,0.5,2.58,60,32.44,3.55,25.54,2.98,20,16.97
"Indian Institute of Science Education & Research, Pune ",(IR-O-U-0305),8.61,25,17.29,13.76,7,20.61,20.64,1,1.93,52.88,12.55,18.72,22.47,1.76,20,27.85
"National Institute of Technology Karnataka, Surathkal ",(IR-O-U-0237),15,18.51,14.35,11.45,0,20.71,18.92,3,2.51,60,15.55,17.74,16.32,10.39,20,38.54
Institute of Chemical Technology ,(IR-O-U-0308),9.23,19.59,15.86,12.59,2,18.82,18.92,11,1.64,60,19.61,6.57,25.02,2.92,20,18.45
Indian Institute of Technology (Banaras Hindu University) Varanasi ,(IR-O-U-0701),15.1,15.05,12.38,9.9,2,21.4,23.19,3.5,2.22,60,14.26,17.76,9.99,8.89,20,39.21
Siksha 'o' Anusandhan,(IR-O-U-0363),17.07,25,15.26,10.98,0,14.32,15.64,3,2.61,60,13.45,17.17,30,1.23,20,27.26
Indian Institute of Technology Indore ,(IR-O-U-0273),7.87,25,16.88,12.71,0,24.32,23.65,1,0.95,60,12.44,18.27,11.56,3.16,20,16.21
Birla Institute of Technology & Science - Pilani,(IR-O-U-0391),17.5,17.86,14.14,9.77,0,18.61,21.81,3,3.33,60,13.45,22.82,15.87,0.06,20,27.26
Homi Bhabha National Institute ,(IR-O-U-0304),10.09,25,17.86,19.56,0,19.3,19.9,2.5,3.55,42.26,26.67,14.33,22.68,0,15,5.31
Kalinga Institute of Industrial Technology ,(IR-O-U-0356),19,25,18,7,0,10.72,14.34,3,2.14,60,15.13,24.59,30,3.27,20,17.71
Indian Institute of Technology Ropar ,(IR-O-U-0378),8.82,25,17.86,14.51,9,15.97,15.52,1,1.17,60,5.71,23.77,14.67,5.89,20,20.57
S.R.M. Institute of Science and Technology ,(IR-O-U-0473),16.93,19.51,12.15,7.32,2,16.02,20.99,7,1.27,60,11.41,16.38,25.09,1.07,20,25.15
"Indian Institute of Technology, Gandhinagar ",(IR-O-U-0139),9,23.15,17.46,14.29,4,18.43,17.97,1,1.65,56.02,9.82,22.45,19.54,4.5,20,20.23
Indian Institute of Technology (Indian School of Mines) ,(IR-O-U-0205),12.39,15.73,13,9.95,0,25.18,25.29,1.5,2.69,56.08,15.71,19.15,7.46,7.73,20,23.57
National Institute of Technology Rourkela,(IR-O-U-0357),15.9,18.29,14.97,7.69,2.5,23,23.54,1.5,1.05,52.74,15.96,15.95,14.5,6.46,20,18.08
"Indian Institute of Science Education & Research, Kolkata ",(IR-O-U-0572),7.93,25,17.38,13.25,0,18.44,19.12,1,0.86,57.11,9.09,16.19,18.71,1.69,20,25.46
Panjab University ,(IR-O-U-0078),16.22,12.69,9.9,6.62,3,15.75,23.22,3,1.21,43.8,30.82,13.8,26.08,0.85,20,27.56
Amity University ,(IR-O-U-0497),16.82,16.02,11.21,5.52,0,15.88,18.67,10,3.33,60,10.35,15.01,28.85,31,20,1343
"Indian Institute of Technology, Mandi ",(IR-O-U-0184),7.02,22.09,17.96,13.22,2.5,18.22,16.37,2,0.67,57.34,8.22,21.43,18.67,6.91,20,12.18
Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),15.5,17.85,14.77,8.16,0,20.92,16.36,3.5,2.22,60,9.46,14.62,27.22,4.13,20,5.31
National Institute of Technology Warangal ,(IR-O-U-0025),15,18.39,14.81,9.53,0,16.35,16.18,1.5,1.19,60,13.48,16.57,14.32,4.25,20,25.15
Osmania University ,(IR-O-U-0027),16.72,17.16,12.68,11.67,2,10.51,11.7,1.5,6.71,60,19.98,1.79,28.95,7.63,18,17.71
"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),8.63,22.94,17.56,12.21,2.5,15.45,15.25,0.5,0.88,54.87,8.02,23.14,24.27,4.03,20,20.57
Chandigarh University ,(IR-O-U-0747),17.87,25,14.41,5.76,0,3.12,5.99,9,4.05,60,9.27,25.19,30,3.44,20,31.19
Shanmugha Arts Science Technology & Research Academy,(IR-O-U-0476),15.06,23.86,15.39,7.03,0,15.37,17.92,1,3.94,60,7.66,11.68,27.52,55,20,9.57
Kalinga Institute of Industrial Technology ,(IR-O-U-0458),13.31,24.92,15.88,5.99,0,9.36,12.39,2.5,2.22,60,11.2,17.48,30,7.23,20,22.92
"Mahatma Gandhi University, Kottayam ",(IR-O-U-0262),7.41,24.14,16.01,16.61,1,16.05,16.33,1,2.79,58.15,12.32,0.78,30,40,20,2.74
Kerala University ,(IR-O-U-0260),10.48,23.79,16.94,12.02,2,9.23,10.27,0,0.8,60,34.4,1.07,30,0,20,2.21
Alagappa University ,(IR-O-U-0435),11.63,25,18.36,6.68,0,13.84,16.8,1,0.99,60,12.21,0.73,30,0.83,20,1845
Jawaharlal Institute of Post Graduate Medical Education & Research ,(IR-O-U-0368),8.5,25,17.47,17.2,0,14.41,11.34,0,0.36,60,3.63,19.77,27.57,0.83,20,18.81
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,(IR-O-U-0020),14.95,25,17.25,4.02,0,17.07,15.51,3.5,0.55,60,7.04,10.96,25.6,0.26,20,12.6
Mysore University ,(IR-O-U-0235),16,22.17,17.11,7.61,6,6.8,9.43,0,0.58,60,30.68,158,30,2.21,20,4.8
Thapar Institute of Engineering and Technology ,(IR-O-I-1480),13.86,15.12,12.09,8.79,0,18.92,23.19,2,0.71,60,10.57,14.32,19.99,0.79,20,16.21
Lovely Professional University ,(IR-O-U-0379),17.85,22.87,11.49,4.19,0,10.1,15.05,7,2.57,60,6.11,23.78,22.02,3.53,20,20.57
"Indian Institute of Technology, Patna ",(IR-O-U-0064),8.26,20.28,15.49,12.02,6,19.87,17.77,1,0.67,54.33,7.92,17.39,9.37,5.22,20,14.24
JSS Academy of higher Education and Research,(IR-O-U-0222),14,25,17.52,11.6,0,6.64,11.3,1.5,1.97,60,9.04,15.93,30,344,20,16.97
Indian Institute of Science Education & Research Bhopal ,(IR-O-U-0272),8.6,22.58,17.09,13.48,5,14.13,14.15,0,0.9,57.63,7.2,23.23,20.04,3.57,20,8.66
Symbiosis international,(IR-O-U-0329),14.97,24.1,14.99,11.57,0,4.24,7.76,1.5,4.3,60,14.9,16.46,28.32,1.78,20,25.46
Delhi Technological University ,(IR-O-U-0098),15.73,25,11.02,6.18,0,13.07,17.11,0.5,1.78,60,6.55,14.71,20.67,1.96,20,28.71
Gauhati University ,(IR-O-U-0052),16,18.77,14.66,9.99,0,8.82,10.67,1,1.17,60,29.82,4.71,30,3.49,20,8.66
Indian Institute of Technology Bhubaneswar ,(IR-O-U-0355),9.12,18.67,15.14,10.93,0,18.18,18.51,0.5,1.01,58.74,6.71,23.28,10.48,6.69,20,16.97
"Indian Institute of Engineering Science and Technology, Shibpur ",(IR-O-U-0584),11.42,16.55,12.12,8.43,1.5,19.79,17.76,0.5,1.3,56.18,14.26,11.12,13.85,3.29,20,27.26
Sathyabama Institute of Science and Technology ,(IR-O-U-0474),13.11,24.33,14.44,5.11,0,13.1,14.01,1.5,1.26,60,5.82,16.51,26.07,2.48,20,23.57
"Visvesvaraya National Institute of Technology, Nagpur ",(IR-O-U-0334),11.8,18.11,14.4,9.22,0,15.84,15.25,6,2.19,60,10.53,13.51,17.75,3.35,20,6.29
Cochin University of Science and Technology ,(IR-O-U-0253),12,20.28,16.01,8.77,0,15.98,13.78,1.5,1.31,60,13.37,0.87,30,0.76,20,13.02
University of Madras , (IR-O-I-1357),11.35,21.57,16.16,7.5,0,15.42,15.19,0.5,1.23,54.93,16.36,3.28,29.13,0,20,18.45
"Andhra University, Visakhapatnam ",(IR-O-U-0006),15,14.81,11.92,12.32,0,10.46,10.28,1,4.07,60,25.7,1.19,28.21,4.34,20,15.04
National Institute of Technology Durgapur ,(IR-O-U-0577),11.8,18.35,14.94,8.86,0,17.21,16.23,1,0.72,60,10.09,14.2,12.96,9.98,20,14.24
Gujarat University ,(IR-O-U-0136),12.94,25,15.84,8.98,2,5.28,6.79,1.5,4.81,60,23.3,7.39,30,0,20,3.78
Jamia Hamdard,(IR-O-U-0107),14.39,20.27,14.44,7.83,0,12.21,15.34,0.5,2.1,60,10.35,14.03,28.34,0.56,18,12.18
King George's Medical University ,(IR-O-U-0523),7.2,25,15.64,18.49,0,12.43,12.49,0,1.39,60,3.36,6.49,26.37,2.97,20,9.57
