Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank
Guru Nanak Dev University ,(IR-O-U-0376),14.07,13.32,8.8,4.59,0,9.87,14.09,0.5,4.16,60,16.11,2.81,29.43,1.53,20,17.89,85
PSG College of Technology ,(IR-O-C-37013),12.93,24.81,14.31,3.33,0,6.27,8.21,3,0.65,56.73,1.96,1.51,26.25,2.41,20,43.26,86
Pondicherry University ,(IR-O-U-0369),13.04,13.12,10.54,3.23,0,13.45,15.23,1,0.43,48.67,23.74,14.06,22.52,1.6,20,17.89,87
Motilal Nehru National Institute of Technology ,(IR-O-U-0530),13.07,16.4,12.77,5.62,0,13.2,13.75,0.5,1.04,59.76,7.92,13.08,13.19,8.5,20,11.06,88
Sri Sivasubramaniya Nadar College of Engineering ,(IR-O-C-16604),12.5,21.57,14.8,4.48,0,14.15,12.56,1,1.31,55.3,4.12,3.57,26.19,3.86,20,9.9,89
North Eastern Hill University ,(IR-O-U-0341),12.14,21.06,15.35,6.97,0,7.51,8.2,0,0.6,58.21,16.41,6.83,29.81,0,15,11.62,90
Bharathidasan University ,(IR-O-U-0448),8.57,22.58,17.09,6.5,0,13.65,14.78,1,0.49,41.68,11.98,0.91,26.74,4.16,16,18.85,91
Sri Venkateswara University ,(IR-O-U-0037),12.7,21.25,13.83,3.43,0,7.97,10.66,0,1.24,58.91,20.29,1.78,26.53,4.3,18,5.57,92
National Institute of Technology Silchar ,(IR-O-U-0055),10.11,18.11,14.45,4.61,0,15.13,14.96,2,0.22,57.87,6.3,12.95,14.35,5.54,20,6.85,93
SVKM's Narsee Monjee Institute of Management Studies ,(IR-O-N-10),13.67,25,15.01,7.63,2,3.44,5.87,1,4.46,60,3.13,13.88,27.04,0,20,4.24,94
Calicut University ,(IR-O-U-0251),8.71,25,16.46,9.15,4,7.59,9,0,0.05,50.5,12.82,0.32,30,6.45,18,2.88,95
Mumbai University ,(IR-O-U-0318),15.42,14.55,9.85,6.77,3,6.88,8.12,2,2.08,60,18.35,2.76,22.44,2.58,20,7.48,96
Visva Bharati,(IR-O-U-0589),13.97,16.51,11.13,5.39,2.5,9.61,14.29,1,1.25,60,13.81,2.4,24.07,1.11,9,6.22,97
Sardar Vallabhbhai National Institute of Technology ,(IR-O-U-0149),12.73,16.82,11.54,4.23,0,13,13.87,1,1.41,59.05,5.44,14.18,19.52,3.33,20,7.48,98
Guru Gobind Singh Indraprastha University ,(IR-O-U-0099),10.34,17.13,12.15,6,2.5,10.49,10.42,0,1.73,60,4.22,5.23,27.01,0.21,20,21.15,99
Datta Meghe Institute of Medical Sciences ,(IR-O-U-0295),10.81,25,18.96,9.3,0,2.02,3.98,3,1.35,57.1,2.97,14.12,30,2.06,20,1.46,100
 ,,,,,,,,,,,,,,,,,,
