Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank
Indian Institute of Technology Madras,IR-O-U-0456,17,29.44,18.32,19.81,29.8,30.08,13,10.66,60,27.13,23.56,14.08,8.44,20,94.14,1
Indian Institute of Science,IR-O-U-0220,10.35,30,18.29,24.52,35,35,12,7.24,48.31,30.25,21.99,10.06,4.42,12,100,2
Indian Institute of Technology Delhi,IR-O-I-1074,14.83,27.95,17.54,17.98,31.14,31.43,11,9.41,53.97,25.16,23.65,14.6,2.33,18,86.14,3
Indian Institute of Technology Bombay,IR-O-U-0306,17,26.63,18.09,15.23,30.43,30.87,15,8.07,56.05,26.27,21.66,12.78,2.25,14,86.92,4
Indian Institute of Technology Kharagpur,IR-O-U-0573,16.52,23.47,15.35,12.01,29.35,31.73,9,6.57,57.48,28.69,22.98,10.93,6.72,20,78.11,5
Indian Institute of Technology Kanpur,IR-O-I-1075,14.93,24.6,16.58,15.85,27.1,27.13,9,6.38,48.28,21.68,19.46,8.36,7.57,15,75.68,6
Jawaharlal Nehru University,IR-O-U-0109,13.88,30,17.25,15.62,19.11,18.68,3,1.06,60,39.87,25.87,30,0,20,35.27,7
Indian Institute of Technology Roorkee,IR-O-U-0560,15.32,24.37,15.81,11.82,28.5,29.54,2,5.04,60,27.14,25.82,12.72,3.1,20,43.66,8
Indian Institute of Technology Guwahati,IR-O-U-0053,14.07,30,18.23,14.5,26.56,26.59,0.5,2.93,53.32,20.55,24.65,11.01,4.97,20,46.34,9
Banaras Hindu University,IR-O-U-0500,19.01,24.44,16.26,10.01,18.21,23.26,1.5,3.51,60,36.37,8.88,24.58,3.56,20,47.28,10
University of Hyderabad,IR-O-U-0042,13,30,19.52,12.29,20.38,19.94,150,195,57.98,25.67,19.73,28.04,0,11,36.71,11
Calcutta University,IR-O-U-0570,16.59,24.03,14.41,7.23,17.66,19.41,8,2.03,60,31.54,3.29,30,685,20,37.39,12
Jadavpur University,IR-O-U-0575,17.38,18.45,12.27,6.29,23.7,24.43,3,3.76,57.22,33.06,3.49,20.29,117,20,51.83,13
Anna University,IR-O-U-0439,16.6,21.62,12.29,5.88,24.02,23.59,2,4.48,58.4,19.67,194,27.68,3.54,20,62.72,14
Amrita Vishwa Vidyapeetham,IR-O-U-0436,16.22,30,16.07,10.73,16.68,15.17,6,5.92,60,10.28,21.63,28.21,0.39,20,31.01,15
Manipal Academy of Higher Education,IR-O-U-0234,16.73,30,16.83,14.34,16.69,16.29,1,4.34,50.48,19.23,19.01,26.74,103,20,30.21,16
Savitribai Phule Pune University,IR-O-U-0323,14.77,24.72,14.27,15.49,19.56,20.04,2,2.82,60,26.04,2.99,27.12,6.22,18,16.55,17
Aligarh Muslim University,IR-O-U-0496,18.33,30,17.25,11.11,14.53,19.08,0.5,1.27,54.29,31.37,7.96,26.01,3.6,20,18.46,18
Jamia Millia Islamia,IR-O-U-0108,16,30,16.45,11.3,13.25,15.81,1,1.98,60,28.53,19.78,26.97,5.22,20,14.26,19
