Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank
University of Delhi,IR-O-U-0120,18.07,12.54,8.34,8.91,21.35,26.35,3,3.1,47.18,40,10.5,24.58,0.33,20,41.11,20
Bharathiar University,IR-O-U-0447,8.93,30,18.94,9.06,22.41,20.89,0.5,1.24,60,16.53,3.69,30,2.42,16,31.2,21
Indian Institute of Technology Hyderabad,IR-O-U-0013,9,30,16.59,15.33,18.61,18.17,2,2.03,60,7.47,19,14.06,5.71,20,40.33,22
Indian Institute of Science Education & Research Pune,IR-O-U-0305,7.99,30,18.15,14.39,18.2,20.59,1.5,1.75,49.11,8.02,16.78,21.35,1.98,20,32.75,23
National Institute of Technology Tiruchirapalli,IR-O-U-0467,13.97,23.03,13.52,10.73,16.27,16.17,0,2.28,60,10.89,16.96,21.39,4.55,20,50.61,24
Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-O-U-0205,14.65,17.7,11.83,10.54,22.26,23.04,1.5,4.18,58.64,17.36,22.03,6.23,5.16,6,25.54,25
Indian Institute of Management Calcutta,IR-O-S-8972,6.83,29.79,18.39,23.79,4.98,4.86,0,7.28,60,2.55,25.04,22.58,0,20,46.34,26
Institute of Chemical Technology,IR-O-U-0308,8.26,20.6,13.75,12.01,19.36,19.69,7,2.36,55.92,16.69,3.33,24.55,3.61,20,20.28,27
Indian Institute of Technology (Banaras Hindu University) Varanasi,IR-O-U-0701,13.73,22.03,13.96,12.37,17.96,18.85,1,1.64,57.11,11.21,18.23,8.63,7.62,20,29.2,28
Andhra University,IR-O-U-0006,14.97,25.86,16.36,12.18,10,8.94,0,4.23,60,26.61,2.6,29.08,4.06,20,14.55,29
Homi Bhabha National Institute,IR-O-U-0304,8.97,30,17.44,26.84,9.1,12.67,0,3.48,44.16,27.02,11.44,20.85,0,15,4.33,30
Jamia Hamdard,IR-O-U-0107,12.21,30,16.78,10.65,12.11,13.46,3,1.35,60,14.12,15.44,29.26,0.82,18,6.86,31
Vellore Institute of Technology,IR-O-U-0490,15.27,16.91,10.16,6.36,21.8,24,1,0.83,48.88,17.67,16.56,20.32,0.13,20,35.31,32
University of Madras,IR-O-I-1357,10.39,27.07,17.91,8.92,15.01,15.35,2,0.91,42.74,25.51,5.25,28.93,0,20,30.01,33
Panjab University,IR-O-U-0078,16.08,16.4,10.36,8.18,15.78,22.52,5,1.52,42.49,30.01,12.15,25.19,0.54,15,27.09,34
Kerala University,IR-O-U-0260,8.56,30,17.18,19.06,8.72,9.04,0.5,0.58,60,25.7,1.2,30,0,20,8.59,35
Indian Institute of Engineering Science and Technology,IR-O-U-0584,10.93,26.4,15.31,10.34,18.64,15.93,1,1.17,53.29,13.18,9.86,14.38,2.95,20,30.41,36
Indian Institute of Science Education & Research Bhopal,IR-O-U-0272,7.75,30,15.67,15.39,13.79,16.31,0.5,0.9,59.39,6.53,24.62,20.1,3.49,20,7.91,37
National Institute of Technology Rourkela,IR-O-U-0357,12.99,19.29,13.13,8.82,21.48,21.77,1,1.4,52.66,16.03,14.66,11.52,1.79,18,24.4,38
Birla Institute of Technology & Science,IR-O-U-0391,14.37,19.04,12.49,10.77,15.2,17.03,1,0.92,60,13.06,19.4,14.86,0,18,34.41,39
Indian Institute of Science Education & Research Kolkata,IR-O-U-0572,7.53,30,16.84,15.62,19.05,21.46,0,0.7,37.07,8.02,16.76,17.19,1.74,20,24.86,40
Siksha “O° Anusandhan,IR-O-U-0363,14.59,30,17.02,11.35,9,10.04,1,1.13,60,9.84,12.41,28.35,0.28,20,20.02,41
King George's Medical University,IR-O-U-0523,6.95,30,19.27,23.6,12.2,12.59,0,1.07,56.23,5.16,3.44,26.85,3.09,20,5.8,42
Osmania University,IR-O-U-0027,16,20.56,12.44,9.2,11.73,11.7,0,1.52,60,32.09,5.71,25.83,4.14,20,9.26,43
Indian Institute of Technology Mandi,IR-O-U-0184,7.42,27.59,16.8,15.81,14.29,18.1,0.5,0.46,60,4.56,21.9,18.27,5.51,20,11.2,44
Thapar Institute of Engineering and Technology (Deemed-to-be-university),IR-O-I-1480,13.58,25.41,14.95,8.18,16.51,17.37,1.5,0.92,59.02,6.29,14.24,21.68,0.65,20,10.24,45
Indian Institute of Technology Bhubaneswar,IR-O-U-0355,6.22,27.22,16.36,14.84,15.56,15.47,1,0.88,53.02,2.55,21.96,11.43,4.22,20,25.99,46
Alagappa University,IR-O-U-0435,10.63,30,17.13,8.96,8.69,12.2,0.5,0.79,60,1.17,0.36,30,1.39,18,26.65,47
Tezpur University,IR-O-U-0056,9.95,29.49,17.79,9.69,13.72,14.37,1,1.02,54.28,9.19,3.57,25.61,1.82,20,15.71,48
Mahatma Gandhi University,IR-O-U-0262,7.28,24.26,14.18,20.78,12.99,12.55,0.5,0.93,60,12.39,0.12,30,1.86,20,3.58,49
Kalinga Institute of Industrial Technology,IR-O-U-0356,19,24.34,14.26,8.41,6.62,8.67,0.5,2.31,60,11.7,19.22,27.47,2.68,20,14.55,50
Indian Institute of Technology Gandhinagar,IR-O-U-0139,6.92,23.23,14.82,16.99,13.67,16.01,0.5,1.26,51.6,4.62,20.24,16.16,5.2,20,24.17,51
SRM Institute of Science and Technology,IR-O-U-0473,16.33,21.95,10.5,7.9,9.97,13.02,2,1.52,60,18.07,16.23,21.61,0.25,20,14.26,52
National Institute of Technology Karnataka,IR-O-U-0237,13.29,17.91,12.14,7.98,15.79,14.35,0.5,1.64,60,11.35,16.06,12.28,2.55,20,29.4,53
Sri Ramachandra Institute of Higher Education and Research,IR-O-I-1486,13.49,30,18.19,12.16,4.69,10.07,1,0.81,48.71,21.78,4.61,30,0.43,20,6.15,54
JSS Academy of Higher Education and Research,IR-O-U-0222,12.75,30,18.66,8.91,4.85,8.32,1.5,1.07,60,5.48,18.75,30,1.5,20,10.24,55
Tata Institute of Social Sciences,IR-O-U-0331,12.54,26.89,16.26,9.48,3.64,3.51,0,2.82,60,19.76,18.99,30,2.17,20,12.14,56
Bharath Institute of Higher Education & Research,IR-O-U-0446,13.9,30,16.07,8.12,7.63,5.82,4,0.31,60,4.96,21.02,30,1.51,20,3.19,57
Indian Institute of Technology Patna,IR-O-U-0064,6.72,28.79,16.9,14.52,15.02,13.49,0.5,0.78,49.88,4.49,17.69,8.1,5.64,20,12.45,58
Visva Bharati,IR-O-U-0589,13.07,24.53,13.5,9.55,9.89,14.97,0,1.21,60,14.79,5.03,26.14,1.22,9,11.52,59
G. B. Pant Universtiy of Agriculture and Technology,IR-O-U-0554,11.43,30,18,12.14,5.18,5.38,3,1.96,60,15.65,4.51,25.51,0,13,5.44,60
National Institute of Technology Warangal,IR-O-U-0025,12.5,21.38,13.98,10.02,12.43,11.13,0.5,0.65,60,7.97,18.91,14.85,3.69,20,19.51,61
North Eastern Hill University,IR-O-U-0341,12.39,27.52,16.28,11.67,6.67,6.82,0.5,0.54,58.07,17.64,10.07,29.69,0,15,6.51,62
Shanmugha Arts Science Technology & Research Academy,IR-O-U-0476,15.48,23.27,12.11,4.69,13.93,14.5,2,1.94,60,5.16,6.97,29.68,0.48,20,6.86,63
Sathyabama Institute of Science and Technology,IR-O-U-0474,13.44,27.24,13.02,5.47,15.94,9.75,0.5,0.96,60,5.86,17.86,22.41,2.83,20,2.41,64
Gauhati University,IR-O-U-0052,16,23.71,14.57,11.81,7.71,9.71,0,0.66,58.78,15.92,2.95,30,2.3,9,9.59,65
Indian Institute of Science Education & Research Mohali,IR-O-U-0377,8.68,26.49,16.68,14.58,11.18,12.52,1,0.56,38.63,6.77,24.18,23.13,3.68,20,17.38,66
Saveetha Institute of Medical and Technical Sciences,IR-O-I-1441,13,30,16.04,10.93,11.28,5.92,0,44,60,2.16,16.58,27.03,3.53,20,0,67
Tamil Nadu Agricultural University,IR-O-U-0485,10.38,30,18.39,15.96,3.9,4.27,1,2.41,52.29,17.01,1.95,29.8,2.35,11,11.52,68
Madurai Kamraj University,IR-O-U-0463,7.34,30,18.58,8.02,13.25,14.41,0,0.46,41.18,15.92,1.06,25.3,0,15,20.28,69
Dr. D. ¥. Patil Vidyapeeth,IR-O-I-1110,11.5,30,18.38,17.51,2.79,3.27,0.5,1.06,58.11,4.35,13.58,30,0.13,20,7.56,70
Delhi Technological University,IR-O-U-0098,13.36,25.29,11.82,5.52,10.54,11.41,0.5,1.89,60,6.89,13.22,19.65,1.75,20,19.51,71
Pondicherry University,IR-O-U-0369,12.49,17.67,12.06,5.7,12.48,13.82,0,0.33,47.09,26.21,16.05,21.81,1.43,20,19.25,72
Sri Venkateswara University,IR-O-U-0037,12.18,28.17,15.56,6.56,10.58,11.92,0,1.1,46.76,22.87,0.05,25.76,2.97,16,6.51,73
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),IR-O-U-0020,14.47,30,16.58,6.12,9.08,8.47,1,0.52,60,3.8,9.27,24.56,3.33,20,3.58,74
Punjab Agricultural University,IR-O-U-0381,10.17,30,17.65,19.14,7.61,7.45,2,2.67,43.37,12.85,12.23,26.86,0.85,12,3.19,75
PSG College of Technology,IR-O-C-37013,13,30,14.51,6.17,5.81,5.89,0,0.91,59.42,1.61,1.28,26.3,2.38,20,43.66,76
Shiv Nadar University,IR-O-U-0642,8.11,30,17.56,13.79,5.73,7.32,0.5,0.49,60,1.53,20.27,24.15,0.19,20,6.15,77
Sri Sivasubramaniya Nadar College of Engineering,IR-O-C-16604,11.5,27.42,15.56,7.92,12.33,9.65,0.5,49,60,3.44,3.03,26.72,3.17,20,7.56,78
University of Kashmir,IR-O-U-0196,14.4,23.04,14.47,7.91,7.4,9.51,0,1.42,60,19.2,0,27.28,0.08,20,1.63,79
Mysore University,IR-O-U-0235,13.36,23.53,14.21,6.2,7.16,8.2,1.5,1.29,60,18.43,3.41,25.55,3.71,20,4.7,80
Guru Nanak Dev University,IR-O-U-0376,13.79,15.25,8.63,8.83,11.37,14.5,0.5,3.01,55.13,19.59,2.14,29.34,2.54,20,5.8,81
Symbiosis International,IR-O-U-0329,14.5,30,13.52,11.99,1.69,3.66,0.5,3.58,60,1.03,21.97,28.47,2.44,20,3.19,82
"SVKM""s Narsee Monjee Institute of Management Studies",IR-O-N-10,12.73,28.58,13.84,13.69,3.06,3.45,0.5,4.67,60,4.22,16.17,29.03,0.01,20,1.22,83
Amity University,IR-O-U-0497,14.67,18.82,10.11,6.51,10.75,11.79,4,1.76,60,5.48,15.37,26.54,0.02,20,7.22,84
Birla Institute of Technology,IR-O-U-0202,10.72,21.89,14.03,8.08,14.91,12.06,2,0.5,50.86,6.11,11.71,20.23,0.94,12,23.47,85
Bharathidasan University,IR-O-U-0448,8.06,26.27,16.14,10.27,13.75,14.25,0.5,0.54,33.28,15.65,0.54,24.51,2.72,15,24.17,86
Banasthali Vidyapith,IR-O-U-0389,16.06,18.91,11.08,4.35,3.92,5.76,0.5,1.5,60,24.87,21.93,30,0.09,2,4.33,87
Bharati Vidyapeeth,IR-O-I-1361,17.49,25.25,14.39,6.77,3,4.65,1,2.77,51.11,13.38,11.88,27.3,1.04,20,13.66,88
Chaudhary Charan Singh Haryana Agricultural University,IR-O-U-0159,9.19,30,17.37,20.32,3.26,1096,0.5,1.19,50.67,5.73,2.35,20.49,6.66,20,2.02,89
Calicut University,IR-O-U-0251,9.43,19.66,12.71,14.52,7.38,8.5,0.5,0.07,60,11.53,2.09,27.5,5.87,18,7.22,90
College of Engineering,IR-O-C-41593,11,24.93,11.76,8.66,10.46,6.63,2,1.43,60,1.36,3.64,24.19,4.45,20,15.42,91
Datta Meghe Institute of Medical Sciences,IR-O-U-0295,9.5,30,19.22,16.74,1.23,0.67,1,0.26,58.8,1.77,9.48,30,0,20,0.82,92
National Institute of Technology Durgapur,IR-O-U-0577,11.16,16.81,10.88,8.21,15.19,13.37,0,0.4,60,4.01,14.48,10.77,4.45,18,12.14,93
Cochin University of Science and Technology,IR-O-U-0253,11.43,16.83,11.28,7.68,13.44,11.06,1.5,0.89,54.24,10.57,1.21,25.07,1.27,20,14.84,94
Guru Gobind Singh Indraprastha University,IR-O-U-0099,11,22.61,13.08,9.69,8.76,7.76,1.5,0.95,60,4.62,5.15,27.85,0.19,20,3.58,95
Anand Agricultural University,IR-O-U-0123,8.5,30,16.1,14.89,4.94,4.11,0,3.2,48.88,10.23,1.72,16.84,2.89,20,7.22,96
Periyar University,IR-O-U-0470,7.96,23.94,15.73,4.68,9.37,10.56,0.5,0.31,45.28,13.85,1.62,29.41,4.23,18,19.25,97
KLE Academy of Higher Education and Research,IR-O-U-0225,11.06,30,17.31,12.85,2.6,3.62,0,2.51,46.29,3.22,15.28,30,0.76,20,4.33,98
Tamil Nadu Veterinary & Animal Sciences University,IR-O-U-0487,7.1,30,16.49,17.4,3.28,2.13,1.5,1.1,60,2.85,2.44,25.78,5.91,10,2.02,99
NITTE,IR-O-U-0239,9.4,30,17.42,13.56,4.58,4.03,0,0.7,48.17,0.44,15.77,30,0.34,20,6.51,100
